,漫画タイトル,シリーズID,ISBN,漫画家,原作者,出版社,掲載雑誌,ジャンル,書影URL,タイトルURL,立ち読みURL,無料で読める巻数,無料キャンペーン中のタイトルなのか,無料期限
0,東京喰種トーキョーグール:re【期間限定無料】　1巻,276441,18,  石田スイ  ,,  集英社  ,週刊ヤングジャンプ, 青年マンガ 青年マンガ/アクション/ファンタジー/ミステリー・ホラー/週刊ヤングジャンプ/ヤングジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/A3100049588661.jpg?20181130193305,https://www.ebookjapan.jp/ebj/276441/volume1/branch7/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42076336,2,無料,2018/12/17
1,【期間限定　無料お試し版】六道の悪女たち　1巻,385723,14,  中村勇志  ,,  秋田書店  ,週刊少年チャンピオン, 少年マンガ 少年マンガ/アクション/ラブコメ/学園/週刊少年チャンピオン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/E6100050018061.jpg?20181207213022,https://www.ebookjapan.jp/ebj/385723/volume1/branch3/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42080700,2,無料,2018/12/21
2,齢5000年の草食ドラゴン、いわれなき邪竜認定 ～やだこの生贄、人の話を聞いてくれない～　（1）【期間限定 試し読み増量版】,461317,3,  ,榎本快晴　漫画：ムロコウイチ　キャラクター原案：しゅがお  ,  スクウェア・エニックス  ,月刊ガンガンJOKER, 少年マンガ 少年マンガ/ファンタジー/ギャグ・コメディー/月刊ガンガンJOKER,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/F2100050073461.jpg?20181206185229,https://www.ebookjapan.jp/ebj/461317/volume1/branch2/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42081261,1,無料,2018/12/27
3,BLEACH モノクロ版【期間限定無料】　1巻,132455,79,  久保帯人  ,,  集英社  ,週刊少年ジャンプ, 少年マンガ 長編マンガ/少年マンガ/アクション/ファンタジー/週刊少年ジャンプ/ジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/F9100050146061.jpg?20181206185229,https://www.ebookjapan.jp/ebj/132455/volume1/branch13/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42082002,5,無料,2018/12/20
4,推しが武道館いってくれたら死ぬ　（1）【お試し版】,350977,6,  平尾アウリ  ,,  徳間書店  ,リュウコミックス, 青年マンガ 青年マンガ/ギャグ・コメディー/少女コミック　ガールズラブコミック/リュウコミックス/リュウより感謝を込めて/創刊12周年フェア,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/Z4100028692561.jpg?20180901214246,https://www.ebookjapan.jp/ebj/350977/volume1/branch1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49799165,1,有料,
5,異世界魔王と召喚少女の奴隷魔術　1巻,348433,8,  漫画：福田直叶　,むらさきゆきや　キャラクター原案：鶴崎貴大  ,  講談社  ,月刊少年シリウス, 少年マンガ 少年マンガ/アクション/ファンタジー/シリウス,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/B7100010724261.jpg?20181206175321,https://www.ebookjapan.jp/ebj/348433/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49610438,1,無料,2018/12/20
6,僕のヒーローアカデミア【期間限定無料】　1巻,264558,25,  堀越耕平  ,,  集英社  ,週刊少年ジャンプ, 少年マンガ 少年マンガ/アクション/ヒーロー/学園/週刊少年ジャンプ/ジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/E3100049987461.jpg?20181203213018,https://www.ebookjapan.jp/ebj/264558/volume1/branch23/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42080371,4,無料,2018/12/17
7,乙女戦争　ディーヴチー・ヴァールカ　1巻,232575,11,  大西巷一  ,,  双葉社  ,月刊アクション, 青年マンガ 青年マンガ/歴史/戦争/月刊アクション,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/FSO24660.jpg?20181211174335,https://www.ebookjapan.jp/ebj/232575/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49251783,1,無料,2018/12/25
8,ONE PIECE モノクロ版【期間限定無料】　1巻,132082,96,  尾田栄一郎  ,,  集英社  ,週刊少年ジャンプ, 少年マンガ ベストセラー/長編マンガ/少年マンガ/アクション/ファンタジー/週刊少年ジャンプ/ジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/E5100050000361.jpg?20181204173902,https://www.ebookjapan.jp/ebj/132082/volume1/branch11/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42080503,6,無料,2018/12/18
9,群青戦記 グンジョーセンキ【期間限定無料】　1巻,236388,19,  笠原真樹  ,,  集英社  ,週刊ヤングジャンプ, 青年マンガ 青年マンガ/ＳＦ/スポーツ/学園/時代劇/週刊ヤングジャンプ/ヤングジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/I4100050399261.jpg?20181207213022,https://www.ebookjapan.jp/ebj/236388/volume1/branch14/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42084574,2,無料,2018/12/25
