,漫画タイトル,シリーズID,ISBN,漫画家,原作者,出版社,掲載雑誌,ジャンル,書影URL,タイトルURL,立ち読みURL,無料で読める巻数,無料キャンペーン中のタイトルなのか,無料期限
0,学園ベビーシッターズ　1巻,27455,19,  時計野はり  ,,  白泉社  ,LaLa, 少女マンガ 少女コミック/少女コミック ファミリー/少女コミック 学園/少女コミック 仕事/花とゆめコミックス/LaLa,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/HSS47760.jpg?20181204173859,https://www.ebookjapan.jp/ebj/27455/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49070551,4,無料,2018/12/19
1,文学処女 1巻,441564,5,  中野まや花  ,,  LINE Digital Frontier  ,LINE コミックス, 少女マンガ 少女コミック/少女コミック ラブストーリー/LINE コミックス,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/H5100032106061.jpg?20181207213019,https://www.ebookjapan.jp/ebj/441564/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49835294,2,無料,2018/12/24
2,フルーツバスケット　1巻,25988,23,  高屋奈月  ,,  白泉社  ,花とゆめコミックス, 少女マンガ ベストセラー/長編マンガ/少女コミック/少女コミック ファンタジー/少女コミック ラブストーリー/少女コミック ラブコメ/少女コミック ドラマ/花とゆめコミックス/花とゆめ,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/HSS16060.jpg?20181211174335,https://www.ebookjapan.jp/ebj/25988/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49065286,3,無料,2018/12/25
3,昭和ファンファーレ　1巻,424139,5,  リカチ  ,,  講談社  ,BE・LOVE, 少女マンガ 少女コミック/少女コミック ドラマ/少女コミック 歴史/BE・LOVE,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/P9100027748061.jpg?20181212163612,https://www.ebookjapan.jp/ebj/424139/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49789209,1,無料,2018/12/27
4,黒豹と１６歳　1巻,357164,10,  鳥海ペドロ  ,,  講談社  ,なかよし, 少女マンガ 少女コミック/少女コミック ラブストーリー/少女コミック ラブコメ/少女コミック 学園/なかよし,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/T7100012525361.jpg?20181212163612,https://www.ebookjapan.jp/ebj/357164/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49629294,2,無料,2018/12/26
5,【試し読み増量版】ジェンダーレス男子に愛されています。　（1）【電子限定特典付】,513173,2,  ためこう  ,,  祥伝社/マンガ  ,FEEL YOUNG, 女性マンガ 少女コミック/レディースコミック/少女コミック ラブストーリー/少女コミック ラブコメ/レディースコミック ラブストーリー/レディースコミック ラブコメ/FEEL YOUNG,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/E2100049977961.jpg?20181206185229,https://www.ebookjapan.jp/ebj/513173/volume1/branch1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42080270,1,無料,2018/12/20
6,［試し読み増量版］ギルティ　～鳴かぬ蛍が身を焦がす～　1巻,459402,4,  丘上あい  ,,  講談社  ,BE・LOVE, 女性マンガ レディースコミック/レディースコミック ラブストーリー/レディースコミック ドラマ/レディースコミック ミステリー・ホラー/BE・LOVE,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/U9100049040361.jpg?20181129181041,https://www.ebookjapan.jp/ebj/459402/volume1/branch1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42070767,1,無料,2019/02/07
7,黒伯爵は星を愛でる　1巻,264585,12,  音久無  ,,  白泉社  ,花とゆめ, 少女マンガ 少女コミック/少女コミック ファンタジー/少女コミック ラブコメ/花とゆめコミックス/花とゆめ,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/HA162460.jpg?20181211174335,https://www.ebookjapan.jp/ebj/264585/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49338574,2,無料,2018/12/25
8,３７．５℃の涙　1巻,248654,14,  椎名チカ  ,,  小学館  ,Cheese!, 少女マンガ 少女コミック/少女コミック ファミリー/少女コミック ドラマ/少女コミック 仕事/Cheese!,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/SN010560.jpg?20181206185224,https://www.ebookjapan.jp/ebj/248654/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49281341,3,無料,2018/12/20
9,素敵な彼氏【期間限定無料】　1巻,376291,9,  河原和音  ,,  集英社  ,別冊マーガレット, 少女マンガ 少女コミック/少女コミック ラブストーリー/少女コミック 学園/別冊マーガレット/マーガレットコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/I5100050403061.jpg?20181207213022,https://www.ebookjapan.jp/ebj/376291/volume1/branch13/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42084612,1,無料,2018/12/25
10,【期間限定　無料お試し版】後宮デイズ～七星国物語～　1巻,198996,17,  すもももも  ,,  秋田書店  ,プリンセス, 少女マンガ 少女コミック/少女コミック アクション/少女コミック ラブコメ/プリンセス,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/I7100050424061.jpg?20181214181852,https://www.ebookjapan.jp/ebj/198996/volume1/branch2/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42084829,3,無料,2018/12/28
11,アオハライド【期間限定無料】　1巻,135008,15,  咲坂伊緒  ,,  集英社  ,別冊マーガレット, 少女マンガ 少女コミック/少女コミック ラブストーリー/少女コミック ドラマ/少女コミック 学園/別冊マーガレット/マーガレットコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/I5100050402861.jpg?20181207213022,https://www.ebookjapan.jp/ebj/135008/volume1/branch10/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42084610,2,無料,2018/12/25
12,【期間限定　無料お試し版】凪のお暇　1巻,411012,5,  コナリミサト  ,,  秋田書店  ,エレガンスイブ, 女性マンガ レディースコミック/レディースコミック ドラマ/レディースコミック コメディ/エレガンスイブ,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/E6100050012961.jpg?20181211174337,https://www.ebookjapan.jp/ebj/411012/volume1/branch9/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42080647,1,無料,2018/12/18
13,野獣は激しく奪う　1巻,305365,11,  水谷京子  ,,  白泉社  ,Love Silky, 女性マンガ レディースコミック/レディースコミック ラブストーリー/レディースコミック ラブコメ/Silky/花とゆめコミックススペシャル/Love Silky,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/M7100001253461.jpg?20181204173859,https://www.ebookjapan.jp/ebj/305365/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49512886,3,無料,2018/12/25
14,マリーミー！ 1巻,441565,8,  夕希実久  ,,  LINE Digital Frontier  ,LINE コミックス, 少女マンガ 少女コミック/少女コミック ラブストーリー/LINE コミックス,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/H5100032106361.jpg?20181214175514,https://www.ebookjapan.jp/ebj/441565/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=40835297,3,無料,2018/12/30
15,【期間限定　無料お試し版】新☆再生縁－明王朝宮廷物語－　1巻,196987,13,  滝口琳々  ,,  秋田書店  ,プリンセスGOLD, 少女マンガ 少女コミック/少女コミック ラブストーリー/少女コミック ドラマ/少女コミック 歴史/プリンセスGOLD,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/I7100050424361.jpg?20181214181852,https://www.ebookjapan.jp/ebj/196987/volume1/branch1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42084832,2,無料,2018/12/28
16,BANANA FISH　【期間限定　無料お試し版】　1巻,7000,23,  吉田秋生  ,,  小学館  ,ベツコミ, 少女マンガ 青年マンガ/少女コミック/アクション/ミステリー・ホラー/少女コミック アクション/少女コミック ミステリー・ホラー/ベツコミ,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/H4100050298361.jpg?20181213190709,https://www.ebookjapan.jp/ebj/7000/volume1/branch3/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42083536,3,無料,2018/12/27
17,【期間限定　無料お試し版】ちひろさん　1巻,251065,11,  安田弘之  ,,  秋田書店  ,エレガンスイブ, 女性マンガ レディースコミック/レディースコミック ドラマ/エレガンスイブ,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/I7100050424761.jpg?20181214181852,https://www.ebookjapan.jp/ebj/251065/volume1/branch2/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42084836,2,無料,2018/12/28
18,ＰとＪＫ　1巻,170478,13,  三次マキ  ,,  講談社  ,別冊フレンド, 少女マンガ 少女コミック/少女コミック ラブストーリー/少女コミック ラブコメ/別冊フレンド,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KD940760.jpg?20181212163612,https://www.ebookjapan.jp/ebj/170478/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49145343,2,無料,2018/12/26
19,私たちはどうかしている　1巻,401588,8,  安藤なつみ  ,,  講談社  ,BE・LOVE, 少女マンガ 少女コミック/少女コミック ラブストーリー/少女コミック ミステリー・ホラー/BE・LOVE,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/M9100022245861.jpg?20181212163612,https://www.ebookjapan.jp/ebj/401588/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49730524,2,無料,2018/12/26
20,春待つ僕ら　1巻,254997,28,  あなしん  ,,  講談社  ,デザート, 少女マンガ 少女コミック/少女コミック ラブストーリー/少女コミック ラブコメ/少女コミック 学園/デザート,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KA410760.jpg?20181130182915,https://www.ebookjapan.jp/ebj/254997/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49295387,19,無料,2019/01/15
