,漫画タイトル,シリーズID,ISBN,漫画家,原作者,出版社,掲載雑誌,ジャンル,書影URL,タイトルURL,立ち読みURL,無料で読める巻数,無料キャンペーン中のタイトルなのか,無料期限
0,【最新刊】進撃の巨人　（27）　ａｔｔａｃｋ ｏｎ ｔｉｔａｎ,21398,28,  諫山創  ,,  講談社  ,別冊少年マガジン, 少年マンガ ベストセラー/少年マンガ/ＳＦ/アクション/ファンタジー/ヒーロー/個性派/週刊少年マガジン/別冊少年マガジン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/T9100048944561.jpg?20181206172216,https://www.ebookjapan.jp/ebj/21398/,,2,有料,
1,【最新刊】僕のヒーローアカデミア　21巻,264558,25,  堀越耕平  ,,  集英社  ,週刊少年ジャンプ, 少年マンガ 少年マンガ/アクション/ヒーロー/学園/週刊少年ジャンプ/ジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/C8100049834661.jpg?20181203172740,https://www.ebookjapan.jp/ebj/264558/,,4,有料,
2,【最新刊】食戟のソーマ　32巻,170105,36,  ,附田祐斗　作画：佐伯俊　協力：森崎友紀  ,  集英社  ,週刊少年ジャンプ, 少年マンガ 少年マンガ/学園/料理/週刊少年ジャンプ/ジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/C8100049833461.jpg?20181203172740,https://www.ebookjapan.jp/ebj/170105/,,4,有料,
3,週刊少年サンデー 2019年2・3合併号(2018年12月12日発売),371274,22,  週刊少年サンデー編集部  ,,  小学館  ,少年サンデー, 男性マンガ誌 少年マンガ/アクション/ファンタジー/ギャグ・コメディー/仕事/時代劇/少年サンデー/マンガ雑誌/マガジン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/J5100050503861.jpg?20181211171519,https://www.ebookjapan.jp/ebj/371274/volume20181212/,,0,有料,
4,シリーズ書籍一覧 37冊を配信中 ,27269,37,  大高忍  ,,  小学館  ,少年サンデー, 少年マンガ 長編マンガ/少年マンガ/アクション/ファンタジー/人情/少年サンデー,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/SX504160.jpg?20181019233034,https://www.ebookjapan.jp/ebj/27269/,,0,有料,
5,【完結済み】DRAGON BALL モノクロ版　1巻,134323,45,  鳥山明  ,,  集英社  ,週刊少年ジャンプ, 少年マンガ ベストセラー/長編マンガ/少年マンガ/アクション/週刊少年ジャンプ/ジャンプコミックスDIGITAL/昭和の名作1980年代,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/RR094560.jpg?20171214133207,https://www.ebookjapan.jp/ebj/134323/,,3,有料,
6,シリーズ書籍一覧 78冊を配信中 ,18152,78,  満田拓也  ,,  小学館  ,少年サンデー, 少年マンガ ベストセラー/長編マンガ/少年マンガ/スポーツ/少年サンデー,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/SX146760.jpg?20181130193302,https://www.ebookjapan.jp/ebj/18152/,,0,有料,
7,シリーズ書籍一覧 201冊を配信中 ,134386,201,  秋本治  ,,  集英社  ,週刊少年ジャンプ, 少年マンガ ベストセラー/長編マンガ/少年マンガ/人情/ギャグ・コメディー/週刊少年ジャンプ/ジャンプコミックスDIGITAL/昭和の名作1970年代,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/RR114960.jpg?20180802161848,https://www.ebookjapan.jp/ebj/134386/,,0,有料,
8,シリーズ書籍一覧 83冊を配信中 ,145222,83,  尾田栄一郎  ,,  集英社  ,週刊少年ジャンプ, 少年マンガ ベストセラー/少年マンガ/アクション/ファンタジー/週刊少年ジャンプ/ジャンプコミックスDIGITAL/集英社カラー版/フルカラー,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/O0100043150561.jpg?20181003132717,https://www.ebookjapan.jp/ebj/145222/,,0,有料,
9,【最新刊】ハイキュー!!　35巻,132454,41,  古舘春一  ,,  集英社  ,週刊少年ジャンプ, 少年マンガ 少年マンガ/スポーツ/学園/週刊少年ジャンプ/ジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/C8100049833061.jpg?20181203172740,https://www.ebookjapan.jp/ebj/132454/,,6,有料,
