,漫画タイトル,シリーズID,ISBN,漫画家,原作者,出版社,掲載雑誌,ジャンル,書影URL,タイトルURL,立ち読みURL,無料で読める巻数,無料キャンペーン中のタイトルなのか,無料期限
0,シリーズ書籍一覧 40冊を配信中 ,21381,40,  末次由紀  ,,  講談社  ,BE・LOVE, 少女マンガ ベストセラー/長編マンガ/少女コミック/少女コミック ラブストーリー/少女コミック スポーツ/少女コミック 学園/BE・LOVE,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/W0100046552461.jpg?20181112163313,https://www.ebookjapan.jp/ebj/21381/,,0,有料,
1,シリーズ書籍一覧 50冊を配信中 ,25901,50,  魔夜峰央  ,,  白泉社  ,花とゆめコミックス, 少女マンガ ベストセラー/長編マンガ/少女コミック/少女コミック コメディ/少女コミック 探偵・刑事/花とゆめコミックス/花とゆめ/別冊花とゆめ/MELODY/昭和の名作1970年代,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/HA157460.jpg?20181119213013,https://www.ebookjapan.jp/ebj/25901/,,0,有料,
2,シリーズ書籍一覧 13冊を配信中 ,20377,13,  ろびこ  ,,  講談社  ,デザート, 少女マンガ ベストセラー/少女コミック/少女コミック ラブストーリー/少女コミック 学園/デザート,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KD569460.jpg?20181006213129,https://www.ebookjapan.jp/ebj/20377/,,0,有料,
3,シリーズ書籍一覧 19冊を配信中 ,28272,19,  可歌まと  ,,  白泉社  ,LaLa, 少女マンガ 少女コミック/少女コミック ファンタジー/少女コミック ラブストーリー/少女コミック 時代劇/花とゆめコミックス/LaLa,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/W9100046641061.jpg?20181102185544,https://www.ebookjapan.jp/ebj/28272/,,0,有料,
4,【完結済み】BANANA FISH　20巻,7000,23,  吉田　秋生  ,,  小学館  ,ベツコミ, 少女マンガ 青年マンガ/少女コミック/アクション/ミステリー・ホラー/少女コミック アクション/少女コミック ミステリー・ホラー/ベツコミ,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/J0100050458461.jpg?20181213155953,https://www.ebookjapan.jp/ebj/7000/,,3,有料,
5,シリーズ書籍一覧 17冊を配信中 ,20195,17,  東村アキコ  ,,  講談社  ,Kiss, 少女マンガ 少女コミック/少女コミック ラブストーリー/少女コミック ラブコメ/少女コミック 個性派/少女コミック コメディ/Kiss,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KD568660.jpg?20181213210748,https://www.ebookjapan.jp/ebj/20195/,,0,有料,
6,シリーズ書籍一覧 10冊を配信中 ,20083,10,  円城寺マキ  ,,  小学館  ,プチコミック, 少女マンガ 少女コミック/少女コミック ラブストーリー/少女コミック 仕事/プチコミック,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/SX224660.jpg?20181111213056,https://www.ebookjapan.jp/ebj/20083/,,0,有料,
7,シリーズ書籍一覧 9冊を配信中 ,255003,9,  東村アキコ  ,,  講談社  ,Kiss, 少女マンガ 少女コミック/少女コミック ラブストーリー/少女コミック ラブコメ/少女コミック 個性派/少女コミック コメディ/Kiss,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KA412960.jpg?20181108233032,https://www.ebookjapan.jp/ebj/255003/,,0,有料,
8,【完結済み】アオハライド　1巻,135008,15,  咲坂伊緒  ,,  集英社  ,別冊マーガレット, 少女マンガ 少女コミック/少女コミック ラブストーリー/少女コミック ドラマ/少女コミック 学園/別冊マーガレット/マーガレットコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/RR171960.jpg?20180301155609,https://www.ebookjapan.jp/ebj/135008/,,2,有料,
9,シリーズ書籍一覧 18冊を配信中 ,19377,18,  葉月かなえ  ,,  講談社  ,デザート, 少女マンガ 少女コミック/少女コミック ラブストーリー/少女コミック 学園/デザート,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KD548860.jpg?20181101171450,https://www.ebookjapan.jp/ebj/19377/,,0,有料,
10,シリーズ書籍一覧 19冊を配信中 ,18004,19,  桜賀めい  ,,  芳文社  ,花音, ボーイズラブコミック 少女コミック/少女コミック ラブストーリー/少女コミック 学園/少女コミック ボーイズラブコミック/花音/R./★BL手帖掲載作品★/★BLランキング手帖掲載作品★/★BL手帖～WE LOVE BL2014～掲載作品★,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/L4100014298361.jpg?20180911233054,https://www.ebookjapan.jp/ebj/18004/,,0,有料,
11,シリーズ書籍一覧 37冊を配信中 ,141445,37,  神尾葉子  ,,  集英社  ,マーガレット, 少女マンガ ベストセラー/長編マンガ/少女コミック/少女コミック 学園/マーガレット/マーガレットコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/RR189060.jpg?20171117193641,https://www.ebookjapan.jp/ebj/141445/,,0,有料,
12,【完結済み】俺物語!!　1巻,147289,15,  作画：アルコ　,河原和音  ,  集英社  ,別冊マーガレット, 少女マンガ 少女コミック/少女コミック ラブコメ/少女コミック 学園/別冊マーガレット/マーガレットコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/RR298160.jpg?20171117193643,https://www.ebookjapan.jp/ebj/147289/,,2,有料,
13,【完結済み】神様はじめました　1巻,28273,26,  鈴木ジュリエッタ  ,,  白泉社  ,花とゆめ, 少女マンガ 長編マンガ/少女コミック/少女コミック SF/少女コミック ファンタジー/少女コミック ファミリー/花とゆめコミックス/花とゆめ,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/HSS60060.jpg?20180705173949,https://www.ebookjapan.jp/ebj/28273/,,1,有料,
14,シリーズ書籍一覧 18冊を配信中 ,22691,18,  桜小路かのこ  ,,  小学館  ,ベツコミ, 少女マンガ 長編マンガ/少女コミック/少女コミック ファンタジー/少女コミック ラブストーリー/少女コミック 学園/ベツコミ,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/SX341860.jpg?20181111213058,https://www.ebookjapan.jp/ebj/22691/,,0,有料,
