,漫画タイトル,シリーズID,ISBN,漫画家,原作者,出版社,掲載雑誌,ジャンル,書影URL,タイトルURL,立ち読みURL,無料で読める巻数,無料キャンペーン中のタイトルなのか,無料期限
0,シリーズ書籍一覧 52冊を配信中 ,132898,52,  原泰久  ,,  集英社  ,週刊ヤングジャンプ, 青年マンガ 長編マンガ/青年マンガ/アクション/歴史/週刊ヤングジャンプ/ヤングジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/G0100047559261.jpg?20181116175916,https://www.ebookjapan.jp/ebj/132898/,,0,有料,
1,シリーズ書籍一覧 21冊を配信中 ,8921,21,  ,とみさわ　千夏　作画：八月　薫  ,  双葉社  ,漫画アクション, 青年マンガ 長編マンガ/青年マンガ/ラブストーリー/仕事/漫画アクション,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/FUT27060.jpg?20180831190730,https://www.ebookjapan.jp/ebj/8921/,,0,有料,
2,【完結済み】東京喰種トーキョーグール:re　1巻,276441,18,  石田スイ  ,,  集英社  ,週刊ヤングジャンプ, 青年マンガ 青年マンガ/アクション/ファンタジー/ミステリー・ホラー/週刊ヤングジャンプ/ヤングジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/RR905660.jpg?20180212213620,https://www.ebookjapan.jp/ebj/276441/,,2,有料,
3,シリーズ書籍一覧 13冊を配信中 ,20384,13,  本名ワコウ  ,,  小学館  ,ビッグコミックスモバMAN, 青年マンガ 長編マンガ/青年マンガ/ラブストーリー/ラブコメ/学園/ビッグコミックスモバMAN,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/SX238460.jpg?20181018112231,https://www.ebookjapan.jp/ebj/20384/,,0,有料,
4,シリーズ書籍一覧 48冊を配信中 ,17072,48,  小山ゆう  ,,  小学館  ,ビッグコミックスペリオール, 青年マンガ 長編マンガ/青年マンガ/アクション/歴史/時代劇/ビッグコミックスペリオール,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/SX080860.jpg?20181016233027,https://www.ebookjapan.jp/ebj/17072/,,0,有料,
5,シリーズ書籍一覧 44冊を配信中 ,7340,44,  作：亜樹直　画：オキモト・シュウ  ,,  講談社  ,モーニング, 青年マンガ ベストセラー/長編マンガ/青年マンガ/実用・エッセイ/仕事/料理/モーニング,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/WINE0160.jpg?20181121172435,https://www.ebookjapan.jp/ebj/7340/,,0,有料,
6,シリーズ書籍一覧 22冊を配信中 ,25386,22,  花沢健吾  ,,  小学館  ,ビッグコミックスピリッツ, 青年マンガ 青年マンガ/ミステリー・ホラー/ビッグコミックスピリッツ,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/SX468060.jpg?20181026192025,https://www.ebookjapan.jp/ebj/25386/,,0,有料,
7,ヤングマガジン　2019年2・3号 [2018年12月10日発売],276606,13,  ヤングマガジン編集部  ,,  講談社  ,ヤングマガジン, 男性マンガ誌 青年マンガ/個性派/ヤングマガジン/マンガ雑誌/マガジン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/Z8100049536861.jpg?20181207174201,https://www.ebookjapan.jp/ebj/276606/volume194/,,1,有料,
8,シリーズ書籍一覧 14冊を配信中 ,174045,14,  石田スイ  ,,  集英社  ,週刊ヤングジャンプ, 青年マンガ 青年マンガ/アクション/ファンタジー/ミステリー・ホラー/週刊ヤングジャンプ/ヤングジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/RR571360.jpg?20180212213544,https://www.ebookjapan.jp/ebj/174045/,,0,有料,
9,【最新刊】ゴールデンカムイ　15巻,300577,17,  野田サトル  ,,  集英社  ,週刊ヤングジャンプ, 青年マンガ 青年マンガ/時代劇/週刊ヤングジャンプ/ヤングジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/A5100041806861.jpg?20180918131751,https://www.ebookjapan.jp/ebj/300577/,,2,有料,
